Package,LibPath,Version,Priority,Built
gtable,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.2.0,NA,3.4.0
gWidgets,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.0-54,NA,3.4.0
haven,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.0,NA,3.4.1
here,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1,NA,3.4.3
hexbin,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.27.1,NA,3.4.0
hexSticker,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4.2,NA,3.4.3
highcharter,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.5.0,NA,3.4.0
highlite,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.0.0.9000,NA,3.4.3
hms,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.3,NA,3.4.0
hrbrthemes,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.0,NA,3.4.0
htmltools,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.3.6,NA,3.4.0
htmlwidgets,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.9,NA,3.4.1
httpuv,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.3.5,NA,3.4.2
httr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.3.1,NA,3.4.2
humaniformat,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.6.0,NA,3.4.0
hunspell,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.6,NA,3.4.1
igraph,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.2,NA,3.4.1
import,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.0,NA,3.4.0
influenceR,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.0,NA,3.4.0
ini,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.3.0,NA,3.4.3
inline,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.3.14,NA,3.4.0
irlba,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,2.2.1,NA,3.4.0
iterators,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0.8,NA,3.4.0
janeaustenr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.5,NA,3.4.1
jose,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1,NA,3.4.0
jpeg,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1-8,NA,3.4.2
jsonlite,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.5,NA,3.4.1
knitr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.17,NA,3.4.1
labeling,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.3,NA,3.4.0
lazyeval,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.2.1,NA,3.4.3
leaflet,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.0,NA,3.4.0
listviewer,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.4.0,NA,3.4.0
lme4,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1-13,NA,3.4.0
lookup,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.0.0.9000,NA,3.4.3
lubridate,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.6.0,NA,3.4.0
magick,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.6,NA,3.4.3
magrittr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.5,NA,3.4.0
mailR,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4.1,NA,3.4.3
mapproj,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.2-5,NA,3.4.2
maps,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,3.2.0,NA,3.4.1
MatrixModels,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4-1,NA,3.4.0
memoise,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.0,NA,3.4.3
microbenchmark,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.4-2.1,NA,3.4.0
miniUI,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.1,NA,3.4.0
minqa,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.2.4,NA,3.4.0
mnormt,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.5-5,NA,3.4.0
ModelMetrics,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.1.0,NA,3.4.0
modelr,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.1.1,NA,3.4.1
modules,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.6.0,NA,3.4.1
munsell,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,0.4.3,NA,3.4.0
