Package,LibPath,Version,Priority,Built
mvtnorm,/usr/local/lib/R/site-library,1.0-6,NA,3.4.1
NeuralNetTools,/usr/local/lib/R/site-library,1.5.0,NA,3.4.1
nloptr,/usr/local/lib/R/site-library,1.0.4,NA,3.4.1
NLP,/usr/local/lib/R/site-library,0.1-11,NA,3.4.1
NMF,/usr/local/lib/R/site-library,0.20.6,NA,3.4.1
openssl,/usr/local/lib/R/site-library,0.9.6,NA,3.4.1
pbkrtest,/usr/local/lib/R/site-library,0.4-7,NA,3.4.1
pkgconfig,/usr/local/lib/R/site-library,2.0.1,NA,3.4.1
pkgmaker,/usr/local/lib/R/site-library,0.22,NA,3.4.1
plogr,/usr/local/lib/R/site-library,0.1-1,NA,3.4.1
plyr,/usr/local/lib/R/site-library,1.8.4,NA,3.4.1
polycor,/usr/local/lib/R/site-library,0.7-9,NA,3.4.1
pryr,/usr/local/lib/R/site-library,0.1.2,NA,3.4.1
psych,/usr/local/lib/R/site-library,1.7.5,NA,3.4.1
purrr,/usr/local/lib/R/site-library,0.2.3,NA,3.4.1
quantreg,/usr/local/lib/R/site-library,5.33,NA,3.4.1
R6,/usr/local/lib/R/site-library,2.2.2,NA,3.4.1
radiant,/usr/local/lib/R/site-library,0.8.0,NA,3.4.1
radiant.basics,/usr/local/lib/R/site-library,0.8.0,NA,3.4.1
radiant.data,/usr/local/lib/R/site-library,0.8.1,NA,3.4.1
radiant.design,/usr/local/lib/R/site-library,0.8.0,NA,3.4.1
radiant.model,/usr/local/lib/R/site-library,0.8.0,NA,3.4.1
radiant.multivariate,/usr/local/lib/R/site-library,0.8.0,NA,3.4.1
RColorBrewer,/usr/local/lib/R/site-library,1.1-2,NA,3.4.1
Rcpp,/usr/local/lib/R/site-library,0.12.11,NA,3.4.1
RcppArmadillo,/usr/local/lib/R/site-library,0.7.960.1.1,NA,3.4.1
RcppEigen,/usr/local/lib/R/site-library,0.3.3.3.0,NA,3.4.1
readr,/usr/local/lib/R/site-library,1.1.1,NA,3.4.1
readxl,/usr/local/lib/R/site-library,1.0.0,NA,3.4.1
registry,/usr/local/lib/R/site-library,0.3,NA,3.4.1
rematch,/usr/local/lib/R/site-library,1.0.1,NA,3.4.1
reshape2,/usr/local/lib/R/site-library,1.4.2,NA,3.4.1
rgexf,/usr/local/lib/R/site-library,0.15.3,NA,3.4.1
rlang,/usr/local/lib/R/site-library,0.1.2,NA,3.4.1
rmarkdown,/usr/local/lib/R/site-library,1.6,NA,3.4.1
RMySQL,/usr/local/lib/R/site-library,0.10.13,NA,3.4.1
rngtools,/usr/local/lib/R/site-library,1.2.4,NA,3.4.1
robustbase,/usr/local/lib/R/site-library,0.92-7,NA,3.4.1
Rook,/usr/local/lib/R/site-library,1.1-1,NA,3.4.1
rprojroot,/usr/local/lib/R/site-library,1.2,NA,3.4.1
RSpectra,/usr/local/lib/R/site-library,0.12-0,NA,3.4.1
rstudioapi,/usr/local/lib/R/site-library,0.6,NA,3.4.1
rvest,/usr/local/lib/R/site-library,0.3.2,NA,3.4.1
sandwich,/usr/local/lib/R/site-library,2.4-0,NA,3.4.1
scales,/usr/local/lib/R/site-library,0.4.1,NA,3.4.1
selectr,/usr/local/lib/R/site-library,0.3-1,NA,3.4.1
shiny,/usr/local/lib/R/site-library,1.0.3,NA,3.4.1
shinyAce,/usr/local/lib/R/site-library,0.2.1,NA,3.4.1
shinydashboard,/usr/local/lib/R/site-library,0.6.1,NA,3.4.1
shinyjs,/usr/local/lib/R/site-library,0.9.1,NA,3.4.1
slam,/usr/local/lib/R/site-library,0.1-40,NA,3.4.1
SnowballC,/usr/local/lib/R/site-library,0.5.1,NA,3.4.1
sourcetools,/usr/local/lib/R/site-library,0.1.6,NA,3.4.1
SparseM,/usr/local/lib/R/site-library,1.77,NA,3.4.1
stringi,/usr/local/lib/R/site-library,1.1.5,NA,3.4.1
stringr,/usr/local/lib/R/site-library,1.2.0,NA,3.4.1
tibble,/usr/local/lib/R/site-library,1.3.3,NA,3.4.1
tidygraph,/usr/local/lib/R/site-library,1.0.0,NA,3.4.1
tidyr,/usr/local/lib/R/site-library,0.7.0,NA,3.4.1
tidyverse,/usr/local/lib/R/site-library,1.1.1,NA,3.4.1
tm,/usr/local/lib/R/site-library,0.7-1,NA,3.4.1
tokenizers,/usr/local/lib/R/site-library,0.1.4,NA,3.4.1
tweenr,/usr/local/lib/R/site-library,0.1.5,NA,3.4.1
udunits2,/usr/local/lib/R/site-library,0.13,NA,3.4.1
units,/usr/local/lib/R/site-library,0.4-5,NA,3.4.1
viridis,/usr/local/lib/R/site-library,0.4.0,NA,3.4.1
viridisLite,/usr/local/lib/R/site-library,0.2.0,NA,3.4.1
visNetwork,/usr/local/lib/R/site-library,2.0.1,NA,3.4.1
whisker,/usr/local/lib/R/site-library,0.3-2,NA,3.4.1
withr,/usr/local/lib/R/site-library,2.0.0,NA,3.4.1
wordcloud,/usr/local/lib/R/site-library,2.5,NA,3.4.1
xml2,/usr/local/lib/R/site-library,1.1.1,NA,3.4.1
xtable,/usr/local/lib/R/site-library,1.8-2,NA,3.3.2
yaml,/usr/local/lib/R/site-library,2.1.14,NA,3.4.1
zoo,/usr/local/lib/R/site-library,1.8-0,NA,3.4.1
rJava,/usr/lib/R/site-library,0.9-8,NA,3.2.3
XML,/usr/lib/R/site-library,3.98-1.3,NA,3.2.1
base,/usr/lib/R/library,3.4.3,base,3.4.3
boot,/usr/lib/R/library,1.3-20,recommended,3.4.1
class,/usr/lib/R/library,7.3-14,recommended,3.4.0
cluster,/usr/lib/R/library,2.0.6,recommended,3.4.0
codetools,/usr/lib/R/library,0.2-15,recommended,3.3.1
compiler,/usr/lib/R/library,3.4.3,base,3.4.3
datasets,/usr/lib/R/library,3.4.3,base,3.4.3
foreign,/usr/lib/R/library,0.8-69,recommended,3.4.0
graphics,/usr/lib/R/library,3.4.3,base,3.4.3
grDevices,/usr/lib/R/library,3.4.3,base,3.4.3
grid,/usr/lib/R/library,3.4.3,base,3.4.3
KernSmooth,/usr/lib/R/library,2.23-15,recommended,3.4.0
lattice,/usr/lib/R/library,0.20-35,recommended,3.3.3
MASS,/usr/lib/R/library,7.3-48,recommended,3.4.3
Matrix,/usr/lib/R/library,1.2-11,recommended,3.4.1
methods,/usr/lib/R/library,3.4.3,base,3.4.3
mgcv,/usr/lib/R/library,1.8-23,recommended,3.4.3
nlme,/usr/lib/R/library,3.1-131,recommended,3.4.0
nnet,/usr/lib/R/library,7.3-12,recommended,3.4.0
parallel,/usr/lib/R/library,3.4.3,base,3.4.3
rpart,/usr/lib/R/library,4.1-12,recommended,3.4.3
spatial,/usr/lib/R/library,7.3-11,recommended,3.2.5
splines,/usr/lib/R/library,3.4.3,base,3.4.3
stats,/usr/lib/R/library,3.4.3,base,3.4.3
stats4,/usr/lib/R/library,3.4.3,base,3.4.3
survival,/usr/lib/R/library,2.41-3,recommended,3.4.0
tcltk,/usr/lib/R/library,3.4.3,base,3.4.3
tools,/usr/lib/R/library,3.4.3,base,3.4.3
utils,/usr/lib/R/library,3.4.3,base,3.4.3
